IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01879	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01880	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01882	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01883	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01885	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01886	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01889	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01890	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01894	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01896	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01912	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01914	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01915	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01956	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01958	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01985	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01986	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01988	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01989	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG01990	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02009	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02010	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02012	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02013	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02014	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02051	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02052	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02053	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02054	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02095	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02107	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02108	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02111	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02143	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02144	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02255	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02256	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02281	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02282	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02283	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02284	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02307	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02308	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02309	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02314	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02315	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02317	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02318	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02322	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02323	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02325	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02330	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02332	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02334	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02337	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02339	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02343	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02419	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02420	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02427	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02429	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02433	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02439	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02442	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02445	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02449	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02450	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02455	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02461	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02462	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02464	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02465	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02470	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02471	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02476	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02477	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02481	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02484	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02485	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02489	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02496	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02497	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02501	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG02502	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
