IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG00551	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00553	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00554	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00637	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00638	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00640	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00641	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00731	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00732	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00734	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00736	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00737	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00739	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00740	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00742	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG00743	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01047	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01048	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01049	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01051	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01052	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01054	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01055	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01058	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01060	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01061	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01063	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01064	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01066	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01067	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01069	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01070	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01072	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01073	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01075	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01077	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01079	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01080	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01082	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01083	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01085	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01086	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01088	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01089	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01092	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01094	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01095	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01097	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01098	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01101	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01102	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01104	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01105	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01107	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01108	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01110	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01111	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01112	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01113	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01119	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01121	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01122	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01124	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01125	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01130	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01131	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01133	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01134	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01136	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01137	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01139	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01140	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01142	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01148	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01149	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01161	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01162	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01164	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01167	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01168	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01170	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01171	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01173	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01174	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01176	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01177	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01182	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01183	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01187	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01188	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01190	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01191	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01197	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01198	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01200	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01204	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01205	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01241	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01242	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01247	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01248	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01250	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01251	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01253	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01254	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01256	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01257	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01259	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01260	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01269	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01271	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01272	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01274	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01275	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01277	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01278	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01280	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01281	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01284	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01286	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01302	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01303	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01305	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01308	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01311	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01312	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01323	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01325	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01326	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01341	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01342	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01344	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01345	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
