IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG00403	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00404	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00406	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00407	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00409	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00410	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00418	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00419	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00421	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00422	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00428	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00436	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00437	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00442	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00443	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00445	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00446	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00448	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00449	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00451	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00452	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00457	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00458	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00463	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00464	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00472	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00473	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00475	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00476	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00478	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00479	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00500	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00512	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00513	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00525	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00530	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00531	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00533	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00534	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00536	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00537	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00542	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00543	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00556	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00557	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00559	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00560	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00565	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00566	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00577	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00580	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00581	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00583	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00589	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00590	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00592	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00593	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00595	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00596	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00598	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00599	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00607	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00608	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00610	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00611	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00613	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00614	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00619	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00620	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00622	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00623	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00625	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00626	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00628	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00629	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00631	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00632	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00634	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00650	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00651	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00653	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00654	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00656	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00657	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00662	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00663	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG00671	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
