IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG00096	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00097	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00099	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00100	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00101	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00102	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00103	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00105	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00106	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00107	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00108	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00109	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00110	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00111	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00112	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00113	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00114	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00115	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00116	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00117	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00118	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00119	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00120	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00121	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00122	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00123	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00125	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00126	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00127	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00128	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00129	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00130	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00131	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00132	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00133	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00136	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00137	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00138	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00139	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00140	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00141	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00142	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00143	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00145	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00146	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00148	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00149	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00150	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00151	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00154	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00155	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00157	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00158	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00159	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00160	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00171	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00173	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00174	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00176	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00177	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00178	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00179	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00180	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00181	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00182	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00183	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00185	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00186	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00187	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00188	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00189	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00190	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00231	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00232	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00233	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00234	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00235	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00236	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00237	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00238	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00239	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00240	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00242	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00243	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00244	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00245	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00246	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00250	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00251	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00252	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00253	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00254	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00255	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00256	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00257	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00258	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00259	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00260	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00261	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00262	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00263	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00264	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00265	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00266	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00267	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00268	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00269	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00271	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00272	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00273	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00274	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00275	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00276	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00277	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00278	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00280	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00281	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00282	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00284	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00285	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00288	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00290	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00304	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00306	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00308	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00309	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00310	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00311	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00313	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00315	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00318	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00319	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00320	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00321	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00323	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00324	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00325	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00326	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00327	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00328	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00329	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00330	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00331	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00332	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00334	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00335	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00336	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG00337	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
