IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01583	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG01586	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG01589	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG01593	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02490	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02491	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02493	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02494	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02597	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02600	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02601	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02603	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02604	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02648	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02649	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02651	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02652	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02654	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02655	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02657	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02658	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02660	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02661	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02681	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02682	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02684	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02685	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02687	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02688	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02690	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02691	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02694	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02696	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02697	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02699	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02700	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG02724	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
